Bauwerk,Bauwerkbezeichnung,Ebene,Raumnr,Nutzungsartbez.,Nutzername,Kostentraeger,GueltigVon,GueltigBis
151.02,Luftpostleitstelle,G6,230,BÜRORAUM,F-UE,F-PT-K,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,233,BÜRORAUM,F-UE,F-PT-K,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,234,BÜRORAUM,F-UE,F-PT-K,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,235,BÜRORAUM,F-UE,F-PT-K,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,114,BESPRECHUNGSRAUM,F-ITK,F-ITK,17/05/92,31/12/99
151.02,Luftpostleitstelle,G5,121,TOILETTE,F-ITS,F-ITS,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,122,ELT-VERTEILUNG,F-TEGF,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,123,TEEKÜCHE,F-ITS,F-ITS,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,125,RAUM FÜR EDV-ANLAGE,F-ITS,F-ITS,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,711,FLUR,F-ITS,F-ITS,04/04/01,31/12/99
151.02,Luftpostleitstelle,G5,712,FLUR,F-ITS,F-ITS,04/04/01,31/12/99
151.02,Luftpostleitstelle,G5,721,FLUR,F-UE,F-PT-K,04/04/01,31/12/99
151.02,Luftpostleitstelle,G5,741,FLUR,F-RE,F-RE,04/04/01,31/12/99
151.02,Luftpostleitstelle,G5,225,RAUM FÜR EDV-ANLAGE,F-UE,F-PT-K,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,429,RAUM FÜR EDV-ANLAGE,F-ITET,F-ITET,15/02/01,31/12/99
151.02,Luftpostleitstelle,G6,700,FLUR,F-RE,F-RE,13/02/01,31/12/99
151.02,Luftpostleitstelle,G5,206,BÜRORAUM,F-UE,F-PT-K,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,209,TEEKÜCHE,F-UE,F-PT-K,15/02/01,31/12/99
